target	fold	alpha	l1	budget	iterations	seconds	converged	dual_gap	gap_limit	gap_ratio	objective	kkt_max	active	validation_mse	svd_mse	mse_ratio	validation_rms	prediction_change_rms
xptar	0	0.0001	0.1	20000	20000	0.34958099806681275	False	7.770567196336989e-05	9.999999999999942e-07	77.70567196337034	0.002016885836258277	2.5531816641320854e-06	135	3.606760411121949e-06	2.7934533825334174e-06	1.2911475214420558	1.8991472852630333	
xptar	0	0.0001	0.1	100000	74423	1.1654800209216774	True	9.999401328603736e-07	9.999999999999942e-07	0.9999401328603793	0.0020167589897731792	7.730084463473957e-08	131	3.610508734604651e-06	2.7934533825334174e-06	1.2924893456894693	1.9001338728112427	0.010494334264721175
xptar	0	3e-05	0.1	20000	20000	0.31832224410027266	False	0.0008156226617589447	9.999999999999942e-07	815.6226617589494	0.0014572717628197685	8.642657566900446e-06	169	3.2259960550586006e-06	2.7934533825334174e-06	1.154841557489284	1.79610580285756	
xptar	0	3e-05	0.1	100000	100000	1.2697773040272295	False	8.861899795252194e-05	9.999999999999942e-07	88.61899795252245	0.0014524405939972528	9.446651034182879e-07	151	3.1986642840587074e-06	2.7934533825334174e-06	1.145057334430188	1.7884809990767885	0.06002669747016453
xptar	0	3e-05	0.1	300000	300000	3.5022888188250363	False	1.990189706730327e-06	9.999999999999942e-07	1.9901897067303382	0.0014523958919087925	1.0770377276332319e-07	151	3.1990634267765082e-06	2.7934533825334174e-06	1.1452002194771684	1.7885925826684252	0.006400036552694639
xptar	0	3e-05	0.1	1000000	354669	4.156466647051275	True	9.999815749888036e-07	9.999999999999942e-07	0.9999815749888094	0.0014523957027038545	3.3881963772341274e-08	150	3.1990805128771602e-06	2.7934533825334174e-06	1.145206335956777	1.7885973590713926	0.000563506573379658
xptar	0	0.0001	0.5	20000	20000	0.23141556605696678	False	4.982316758150211e-06	9.999999999999942e-07	4.9823167581502394	0.002300317171498147	9.560297619980645e-07	79	3.947935807382749e-06	2.7934533825334174e-06	1.4132814358270467	1.9869413195619918	
xptar	0	0.0001	0.5	100000	34547	0.40115263778716326	True	9.998426110402216e-07	9.999999999999942e-07	0.9998426110402273	0.0023003130854713067	8.621352717894901e-08	79	3.9479396179263135e-06	2.7934533825334174e-06	1.4132827999248294	1.9869422784586153	0.002168331444191005
xptar	0	3e-05	0.5	20000	20000	0.25288757123053074	False	8.913622688621975e-05	9.999999999999942e-07	89.13622688622027	0.0016074272614495463	3.5928598097072125e-06	100	3.4074121743320205e-06	2.7934533825334174e-06	1.2197848711696762	1.8459177051894866	
xptar	0	3e-05	0.5	100000	96960	0.9037091732025146	True	9.999786559555374e-07	9.999999999999942e-07	0.9999786559555431	0.0016066309190282946	1.4649208241329963e-07	94	3.3902033207963807e-06	2.7934533825334174e-06	1.213624448503151	1.841250477473497	0.02819319142964225
ytar	0	0.0001	0.1	20000	20000	0.32518600206822157	False	0.005297314625145543	9.999999999999995e-07	5297.3146251455455	0.0113930472255543	2.5376595939564917e-05	172	2.62632879984674e-06	2.3048727613212613e-06	1.1394680191982507	0.16205951992545023	
ytar	0	0.0001	0.1	100000	100000	1.301740222144872	False	0.0016996430122829679	9.999999999999995e-07	1699.6430122829686	0.01137781915389014	6.004915479332635e-06	166	2.626447158248715e-06	2.3048727613212613e-06	1.1395193705804012	0.16206317157974895	0.003918689756119829
ytar	0	0.0001	0.1	300000	300000	3.6418259562924504	False	2.6710402393919103e-05	9.999999999999995e-07	26.710402393919114	0.01137704953542562	3.492678971859933e-07	165	2.6263211068948813e-06	2.3048727613212613e-06	1.139464681507777	0.16205928257569455	0.0008175905360543923
ytar	0	0.0001	0.1	1000000	489158	5.845147580374032	True	9.9996431814679e-07	9.999999999999995e-07	0.9999643181467905	0.011377047254811052	2.223140320023188e-08	165	2.626299679044061e-06	2.3048727613212613e-06	1.1394553847469404	0.16205862146285402	4.207882220323791e-05
ytar	0	3e-05	0.1	20000	20000	0.3424492049962282	False	0.007399565382273668	9.999999999999995e-07	7399.565382273671	0.009051518650353417	3.392852318141267e-05	201	2.447022476406363e-06	2.3048727613212613e-06	1.0616735628406728	0.15642961600689184	
