model	pool	group_kind	group	target	n	bias	spread	rms	width68	p95
balanced_squared_full	core	overall	all	xptar	77864	0.28025769988652655	1.461999103391391	1.4886187412037097	1.4573025391982122	2.860952526579673
balanced_squared_full	core	overall	all	ytar	77864	0.010643359698785042	0.13540186064110085	0.13581953088841758	0.13114058316735325	0.26938752968576124
balanced_squared_full	core	overall	all	yptar	77864	-0.014651789396982052	1.029062197296339	1.0291664981123816	1.0270298432599523	2.009033032341843
balanced_squared_full	core	foil	-8	xptar	13541	0.16985881030209818	1.5395472490765811	1.5488891979662431	1.4831188740308043	2.9665049871282214
balanced_squared_full	core	foil	-8	ytar	13541	0.04487950879229866	0.13950439529777656	0.14654571510909595	0.13070369879992486	0.2936009380334802
balanced_squared_full	core	foil	-8	yptar	13541	-0.24203704961334502	1.0133296056902361	1.0418343549498943	1.0069581426301755	2.050079159345828
balanced_squared_full	core	foil_delta	-8:0	xptar	1063	0.2609333172410351	2.541861110604906	2.5552189928951323	2.2346994743256503	4.78683808186359
balanced_squared_full	core	foil_delta	-8:0	ytar	1063	0.0657259650541123	0.2231109674498749	0.2325906409955343	0.23187925654113228	0.44341008918567715
balanced_squared_full	core	foil_delta	-8:0	yptar	1063	-0.34799947556845506	1.3128160851320916	1.358156731889759	1.352144190296392	2.56368355000496
balanced_squared_full	core	foil_delta	-8:1	xptar	2510	0.15645796094776096	1.8302002530253116	1.8368756244552447	1.869665993550977	3.5146094802759382
balanced_squared_full	core	foil_delta	-8:1	ytar	2510	0.045432637071946544	0.1853899496578374	0.19087576573637288	0.1926316149164914	0.3663570741854704
balanced_squared_full	core	foil_delta	-8:1	yptar	2510	-0.2940001843865064	1.2354333038394265	1.2699336819908749	1.263121831208693	2.47862037016204
balanced_squared_full	core	foil_delta	-8:2	xptar	4227	0.17520942783630544	1.4418738519044942	1.4524801370100142	1.5123632145658483	2.7928957745240366
balanced_squared_full	core	foil_delta	-8:2	ytar	4227	0.055010907457943535	0.11347954505904014	0.12611029730419776	0.11353428210091197	0.2430197824736191
balanced_squared_full	core	foil_delta	-8:2	yptar	4227	-0.2951986514533521	1.0082572486211305	1.050583134843183	1.036278774825471	2.024277648659555
balanced_squared_full	core	foil_delta	-8:3	xptar	3447	0.16165375214926792	1.2275351796554754	1.2381334955794296	1.281051410596802	2.344688212982845
balanced_squared_full	core	foil_delta	-8:3	ytar	3447	0.03481759596940191	0.09658871257416536	0.10267251037070849	0.09743373739155703	0.20083113619957002
balanced_squared_full	core	foil_delta	-8:3	yptar	3447	-0.17237218253949788	0.8506613213156674	0.8679497986035524	0.8837981053435747	1.652313525795808
balanced_squared_full	core	foil_delta	-8:4	xptar	2294	0.144788935035755	1.1099513060990422	1.1193550543146522	1.1472223448815282	2.1634840154550603
balanced_squared_full	core	foil_delta	-8:4	ytar	2294	0.03106514800442599	0.12539500650442087	0.12918572319254415	0.12925787134403052	0.25291863284809335
balanced_squared_full	core	foil_delta	-8:4	yptar	2294	-0.14280216676893523	0.7755875052393546	0.7886243954616854	0.7784919536503542	1.514153203813191
balanced_squared_full	core	foil	-3	xptar	5890	-0.3315429269328112	1.5451507651520258	1.5803200939838316	1.499268777011642	3.070019993765589
balanced_squared_full	core	foil	-3	ytar	5890	-0.045023705898255356	0.12778652109296543	0.13548626891997392	0.1252097677209511	0.27205374318714043
balanced_squared_full	core	foil	-3	yptar	5890	0.21689716491438252	1.0108864215133018	1.0338934845272338	1.0166487885489608	2.032072636648833
balanced_squared_full	core	foil_delta	-3:0	xptar	467	-0.713166532751961	2.3957306885439418	2.4996263791752327	2.4808904384853854	5.031881801001203
balanced_squared_full	core	foil_delta	-3:0	ytar	467	-0.0920241560781782	0.17770275581053693	0.20011675273339866	0.17990636506814256	0.38619117599320846
balanced_squared_full	core	foil_delta	-3:0	yptar	467	0.46367230133784615	1.1611523543636246	1.2503066796078963	1.2004375141639556	2.3662846899032406
balanced_squared_full	core	foil_delta	-3:1	xptar	1144	-0.41948210947556397	1.7788401263468203	1.827631646495442	1.7775186739389686	3.584879658685374
balanced_squared_full	core	foil_delta	-3:1	ytar	1144	-0.05098439495956686	0.16194282080056954	0.16977893196223873	0.16630517021839272	0.3233604377065854
balanced_squared_full	core	foil_delta	-3:1	yptar	1144	0.25613444794339973	1.1576597076279345	1.1856562967776392	1.204992980955436	2.278845813285113
balanced_squared_full	core	foil_delta	-3:2	xptar	1952	-0.257788938516587	1.4631149195905389	1.4856515085140047	1.5117971785850526	2.806323798787524
balanced_squared_full	core	foil_delta	-3:2	ytar	1952	-0.03491115050929004	0.1150092994014214	0.12019121173649966	0.1175316746799572	0.23157230739372892
balanced_squared_full	core	foil_delta	-3:2	yptar	1952	0.1461863155578183	1.0572703591406591	1.0673289329788582	1.1016322130530578	2.048973649082845
balanced_squared_full	core	foil_delta	-3:3	xptar	1459	-0.2914109934610969	1.285661471368416	1.3182737902542037	1.3172846383336667	2.538158275329654
balanced_squared_full	core	foil_delta	-3:3	ytar	1459	-0.038346372572765734	0.08944022096120002	0.09731391172426296	0.09486025837222636	0.1876366300759343
balanced_squared_full	core	foil_delta	-3:3	yptar	1459	0.2030528760753097	0.8669858513690605	0.8904464818037015	0.8780227247674596	1.6990524060848815
balanced_squared_full	core	foil_delta	-3:4	xptar	868	-0.24363927206789057	1.1129869927335407	1.13934197714638	1.1342738238840055	2.1380953503939626
balanced_squared_full	core	foil_delta	-3:4	ytar	868	-0.045845939678192386	0.1204967096354475	0.12892364879239884	0.1281635285357772	0.25450062637581533
balanced_squared_full	core	foil_delta	-3:4	yptar	868	0.21470241245501284	0.786716952752038	0.8154880070616949	0.7947267316198317	1.5506654879773865
balanced_squared_full	core	foil	0	xptar	40404	0.5530925974184562	1.3721984543868782	1.4794728857065382	1.4045451039808978	2.849011146685661
balanced_squared_full	core	foil	0	ytar	40404	0.01804981108781774	0.1281373393445637	0.1294023702047601	0.12638001848274877	0.25546695300279065
balanced_squared_full	core	foil	0	yptar	40404	-0.009434515920851259	0.9959313396699644	0.9959760255284617	1.0019132595903	1.9389692259584401
balanced_squared_full	core	foil_delta	0:0	xptar	3676	0.6954484751006631	1.9260569644902998	2.0477656145129073	1.9550256691470858	3.793322163817062
balanced_squared_full	core	foil_delta	0:0	ytar	3676	0.0088943952600783	0.18725140995412007	0.18746253171460273	0.20715834228480834	0.33786784792358515
balanced_squared_full	core	foil_delta	0:0	yptar	3676	-0.0006665191771247881	1.170513978274641	1.1705141680407547	1.2173635188497585	2.2287974417418375
balanced_squared_full	core	foil_delta	0:1	xptar	6959	0.6930238224418162	1.544677437603589	1.6930181347857607	1.6347048325278066	3.261223146452036
balanced_squared_full	core	foil_delta	0:1	ytar	6959	-0.00599350406088759	0.16174040286485028	0.1618514133698311	0.1727762177248176	0.30477525069360056
balanced_squared_full	core	foil_delta	0:1	yptar	6959	0.10430409722774046	1.1611370081626617	1.165812376166693	1.190628601798518	2.264501333571753
balanced_squared_full	core	foil_delta	0:2	xptar	12161	0.6438258344995157	1.31500331975969	1.4641534879062383	1.3900617182943278	2.8350839274968247
balanced_squared_full	core	foil_delta	0:2	ytar	12161	0.01821751958452476	0.10993526361225818	0.11143446596681496	0.11517269397347082	0.21178528812674305
balanced_squared_full	core	foil_delta	0:2	yptar	12161	-0.004556825002383455	1.0282876686851758	1.0282977653501424	1.0627320575172852	1.977378537571902
balanced_squared_full	core	foil_delta	0:3	xptar	10388	0.4783939431039384	1.1956357170090972	1.287790950654023	1.2585648785083483	2.4756181522587952
balanced_squared_full	core	foil_delta	0:3	ytar	10388	0.026580350896399905	0.09161127671877849	0.09538941804948992	0.09747577338768487	0.17882744741627168
balanced_squared_full	core	foil_delta	0:3	yptar	10388	-0.04022883894254471	0.8782319137824474	0.8791528046185403	0.8999306614393114	1.6916544232801944
balanced_squared_full	core	foil_delta	0:4	xptar	7220	0.300389151930796	1.1243596906034083	1.1637948085687164	1.1640935846343972	2.2382005897199635
balanced_squared_full	core	foil_delta	0:4	ytar	7220	0.03332931083056082	0.12428797792631749	0.12867923071518933	0.12909239983763815	0.24823261036206914
balanced_squared_full	core	foil_delta	0:4	yptar	7220	-0.08743511656366618	0.8018072673216696	0.8065604710983209	0.8207836080642019	1.5548812570494919
balanced_squared_full	core	foil	3	xptar	6295	-0.29480419954347387	1.4416615017822756	1.4714949547278764	1.4427317861227689	2.904665588597038
